DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,183,"After two hours chatting with @comcastcares and still no solution, I was assured specialist tech would call within… https://t.co/1UjGvs4IHj"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,527,The rerun of @CameronDiaz’s 2014 @nbcsnl I’m watching is right on the 2017 money.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,85,Devil in the form of a whore.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,7526,@bufordsharkley @AlanJoyce @BarbaraEMac I’m never doing that again
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,144,"If you're looking for work in #SanFrancisco, CA, check out this #job: https://t.co/0wsEoijHf9 #RHMRJobs #Sales #Hiring"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,940,#12DaysofArts Clue #2! https://t.co/Zxi8n5GNfc
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,186,They are that stupid and so much more. The fact people this idiotic are running the country should scare everyone. https://t.co/aHtBkgIisj
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],,0,413,I just dropped my iPhone x #nocase
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,5159,"Mercedes SL Roadster and Coupe AKA Gullwing. Classic, iconic, and breathtaking in the metal! Two… https://t.co/gC8wOmHLXJ"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,2534,"Again, the favor of God did not rest with the priest, nor the Levite, but with the Samaritan. Welcome to the story… https://t.co/B8gjbwc82b"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,469,"Small business, big dreams. Thanks for making them come true, Oakland! @ On The Runway https://t.co/z2JAcfwxCw"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],,0,405,"Can you recommend anyone for this #job in #MountainView, CA? https://t.co/Vr7LRYX5sX #IT #Hiring #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,10,The traffic and parking here is so fucking ridiculous i cant wait to move.  🖐
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,561,Starting is always the hardest part.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,246,@caitylotz gave me a @shethority pin for my birthday!! #HVFFSanJose https://t.co/VcClqoZZke
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,378,Smackin edibles while driving on the freeway so by the time I get to my location they hit https://t.co/aM09lUsZYG
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,490,"With @Ash_Kalra, #California State Assemblymember, #NCSS17 Presidents Reception. Thank you! Big shoutout to… https://t.co/fW2npNLSZu"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,13839,@chrisvaughn try without https?
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,2067,@DUALIPA we’ve been standing in the cold waiting https://t.co/CyRCFUzifr
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,548,Breathe. Smile. Keep going. You’ll be fine. 🖤
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,480,"Interested in a #job in #SanFrancisco, CA? This could be a great fit: https://t.co/Vr7kfwIbd3 #Accounting #Hiring #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],17.95,0,463,Yes!!!Way to make a play!!#TURNOVERCHAIN#specialteams#canes
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,11372,Here is the #12DaysofArts clue for today! https://t.co/3Dg81ZD9UR
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,272,@Franklin_Graham @POTUS @realDonaldTrump How do you feel about the pussy grabbing though? 🤔
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,843,@Corporate_Rich I’m mad that’s a legit concern lol
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,504,"Can you recommend anyone for this #job in #Oakland, CA? https://t.co/k0mmb1OO8M #Education #Hiring #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,1643,What are some good shows to watch on HBO besides GOT?
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,871,Wonderful afternoon with my favorite people. I feel so loved! #bucketlist #memories… https://t.co/oEyYHksYN2
