DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,2148,Good morning @jeffsessions ☀️ ! Here’s a recap of your hearing yesterday... Now go back to bed 🛏 You must be tired.… https://t.co/YeEvLceG6I
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,334,Best hype man their is. Hands down @iAmAdrian15 👏🏻 https://t.co/YvZCUOTTyj
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,615,Tbh the main thing I'm excited for for filming tomorrow is that I get to have lunch at Arby's
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,350,Money Power Respect - Dinero x Joey Franko (Prod. by Meech x Sean Wells) https://t.co/oYdAGvyT5H via @YouTube
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,882,A mood: https://t.co/oJ44xVVpAt
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,9991,"@Spocksbrian I'm not in a position to confirm or disconfirm that fact but, yes."
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,827,Wow i really lost my best friend
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,906,So I think I've become addicted to online shopping😩
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,23,where all the ladies that wanna smoke weed and shake they asses to bitch music wit me
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,4113,All I want to do is be the best me.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,13,1732Z N223LA LAPD AIR SUPPORT DIVISION Call: N223LA Squawk: 1200 N34.0713 E-118.3366 Groundspeed: 113kts Course: 30… https://t.co/ctMAV96BCu
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,237,🎸💫 @ The Wiltern https://t.co/SIt3qYfujA
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],8.695,0,79,"15 years ago today, grrrace_77 said ""I do""! @ Old Orange County Courthouse (Santa Ana, California) https://t.co/DNL6amiwLy"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,614,yep i’m in love https://t.co/KHEt8D6pd1
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1065,Broooo you remember Laser Star!? @JasonDiazzzz https://t.co/HLu78GA88w
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,533,I eat the most when at this time 😬
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,71642,People are so emotional these days. @ Runyon Canyon Park https://t.co/o35V4McLHL
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,717,I truly apologize to everyone when I say this but I feel like Casc would be so amazing to experience high
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,170,Our group @UniversalStud enjoying USA culture. #IVLP #myuk2usa #international #themepark https://t.co/637tGI2Cxp
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,4602,@jenafrumes What do you think of my new trap song? https://t.co/qwoSvCLx0M
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,235,I just called out my old HS cross country coach on his #racist ass posts on twitter! I haven't seen the guy in over… https://t.co/NXYnCtB28j
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,586,i need to get sober
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,267,"Bought @HamiltonMusical tickets back in April. The day finally came and besides the show being AMAZING, guess what… https://t.co/59YHInALuT"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,162,I’m cracking tf up https://t.co/1cZEoJNU8o
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,314,when u say gn and he says gn back https://t.co/VAAEOpLDXU
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,449,today was so chill but I️ loved it
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,717,Everyone at Starbucks is so cute :( I want to get to know them and be their friends
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,252,Still drawn to you...
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,3055,Nick Cannon on crack Milly Rockin at Cha Cha rn LULZ
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,188,THIS IS MY FAVOURITE VINE EVER AGAHSJDJSKKK https://t.co/ua58lcTzc5
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],28.17,0,236,the last couple weeks have been straight mierda im not into it rn
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,926,i mean if it’s below 70 here in socal apparently it’s considered cold enough to wear uggs🤷🏽‍♀️ https://t.co/eyBvL0Ik68
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1732,Justice League Review: Avengers Who? #JusticeLeague @wbpictures #TheFlash #batman #wonderwoman #superman… https://t.co/ufLXJlVOxu
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,7346,My stomach is having a revolt and I have work in 5 1/2 hours. 😷🤢
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,186,I’m dying 😂😂 https://t.co/H4CbKvJAri
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,243,"if you don’t tell me what’s wrong, then how am i️ supposed to know 🤷🏽‍♂️"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,717,Omg this account lmao I've truly seen it all https://t.co/J7vw0QrOd6
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,95,Currently looking for pogs on eBay.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,523,Off tomorrow ✊🏽 Fosho finna sleep all day
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,59,"Evidently, Vogue only hires intellectuals. MINGGGG ❤️❤️❤️ https://t.co/lQPMoH8Xvu"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,20,"@AbsoluteXtracts Hey Friend , How have you been ? Hope all is well with you . Recently we got a really good Ceramic… https://t.co/nRzmeR1Du7"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,15440,Found this little morsel from a few weeks back when @vellalovell was Grandma Vella for a few… https://t.co/WnjJLHceq4
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],28.17,0,1047,"9 more sleeps until @DreamstateUSA ✨🙌🏼😌 Can’t wait, can’t wait, can’t wait!!!! 😆🙌🏼 #trancegiving 🦃🎉🙌🏼"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,461,Tomorrow ima listen to Christmas music
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,8093,gift me lil sumpin from wishlist🎁 &amp; get free access to my site plus special thank you!💦😈 https://t.co/QGS5ED8LdO https://t.co/hcsTxyOEDE
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,640,#RaiderNation needed 7 AFC teams ahead of them to lose during their bye. 6/7 did!! I'll take it! #GoPats … https://t.co/b66qIiEIWD
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,206,@gabgar23 I always pass by it but Im not sure why I never look it up.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,59,we been knew minho is one of the sexiest men alive https://t.co/oLDb8d5nc6
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,4522,One thing I don’t like is when people think their shit doesn’t stink. GTFO!
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,568,Tim Cahill in the starting line up and their best player Matthew Leckie back. Honduras needs to score first if they… https://t.co/UCMGESQx92
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,170,Meeting with LAPD #losangeles #LA #usa #strongcities #collaboration #resilient #communities #outreach #myuk2usa… https://t.co/GhTeWKU7FI
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,2472,Get em boff foo https://t.co/FBSrKRzOwB
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,4113,I can't even sleep anymore 😩🤦🏽‍♂️
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,20,"@HIGH_TIMES_Mag Hey Friend , How have you been ? Hope all is well with you . Recently we got a really good Ceramic… https://t.co/BO4K88OzzK"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,321,evan is suchhh a good mufuckin actor though! https://t.co/ZfjcakuuZ7
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,64,Monday  night was truly a wonderful experience with the LA cast of @hamiltonmusical @la_rockwell… https://t.co/EOhh5EzuXB
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,862,#Foxtrot dir. by #SamuelMaoz. Wow. What a cinematic masterpiece. Best film I’ve seen yet this… https://t.co/LuNyKq9loq
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,334,Is it desire or is it love that I️’m feeling for you ✨
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,10849,@DebbyBall813 @malenroh1 @X5Dragon @Barbie @Mattel @IbtihajMuhammad Being PROUD does NOT make them right. AGAIN: Th… https://t.co/L2IHMDsCB2
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,290,@10avier ur tweets speak to me brother
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,3055,Nick Cannon on crack Molly Rockin at Cha Cha rn LULZ
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,448,I’m literally craving strawberry eggos 24 hours a day hahaha what’s happening to me 🍓
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1526,I stress about shit that's outta my control way too much dawg
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,70,When Bae is ready to snuggle... #bae #snuggle #dog #jack #jackrussellterrier #jackrussel… https://t.co/xzWVFip6yY
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,477,Karmas a bitch
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,138,that warm fuzzy feeling https://t.co/n2sXfonWZT
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,34,this where I wanna be at next year 😍 #Techno #CarlCoxStage https://t.co/T3fzCSyreX
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,13,Kuma shape. Makes you more slim and beautiful. https://t.co/1cKeWO7jgW
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1786,A little late in reading. But Disney &amp; ABC want me to do comedy. How about it is my life and I'll do what I want.  https://t.co/YBlDscE7Dn
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,297,"Take off ‘abandon all ships’, and put A Skylit Drive and I think it’ll be a good headliner. 🤔🤷🏽‍♀️ https://t.co/i6Cb0Xz3Dw"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],28.17,0,10669,At the pacificamphitheatre in Costa Mesa #California with my awesome #Yamaha BB bass!… https://t.co/Jkhqv9yg2X
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,334,I want desire because your love only gets me abused ✨
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,87,"@hnb99 You look like a clean elbow, be gracious"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],8.695,0,129,People never forget how you made them feel
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,14923,should i dye my hair back to black? 🤔
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,663,I have too much shit on my plate
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],8.695,0,2009,Lmao I legit only have one person I can share music with
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,496,Happy Birthday 🎂🎁🎊🎉 to my Jada my Ride or Die chicc @kianaaholl me &amp; her got the best Love/Hate Friendship cause he… https://t.co/zUIV4aaMES
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,477,Karma’s a bitch
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,558,Papa John's may have just shot themselves in the foot. https://t.co/VQ0MIKEjcF
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,15,TEST_GEO_Hierarchy: 9fd5eae2-ffd0-4bf6-ac44-880056e8ab90
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,290,I’m on twitter supposed to b doing homework
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,437,Dis me lmfao https://t.co/hjNR767lvl
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],28.17,0,1047,🙌🏼❤️❤️❤️❤️❤️❤️❤️❤️❤️🙌🏼 see you soon @Andrew_Rayel 🙌🏼😍✨ https://t.co/UnhiQzlyl3
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,59,pretends to be shocked https://t.co/sTFYDd1c2D
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1263,Like im just up
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,1756,I am currently wrapped in 4 blankets &amp; resemble the cutest burrito u could ever imagine
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,697,It breaks my heart to see him like this. 💔😭 https://t.co/7YFcY17ZKM
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,255,"I'm finishing the documentary 11/8/16 on Netflix right now, and well now I just feel disappointment and anger all o… https://t.co/1KntnIbWSD"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,969,Time to buck up lol
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,496,1 2 3 here come Infamous Gee
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,206,@gabgar23 Im down for the latter
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,287,Majority rules :)) https://t.co/fSwWBlnYKD
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,576,Proof that girls rule the world! 💪🏻  #wonderwomen  #lovemyjob #workdoesntsuck #girlpower… https://t.co/G3bnPGTJxX
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,440,My current work situation has me paranoid af.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,5726,Currently experiencing Empty LAX at Night. No one is here &amp; God is real.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,287,"Right about now, I'm really missin all the jackets that I've lent out and never got back"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1554,Poor Hopper):
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,146,Dabbing some #cbd from amberindustries 📽by justlikeistoeone at thetacosesh… https://t.co/M4EQkGt85n
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,541,Just got that class is cancelled email😍❤️
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1451,Lmao That Was a Good One @BridgetteWest Well Michael Don't Know What To Say But Haha @Lyricoldrap 😂😂😂 https://t.co/XW5ivvKK1s
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,297,Justice League comes out this week? What the fuck lol. I’ve been missing a lot then.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,182,Head in the clouds ☁️   .  . #jetlife #skyhigh #flightattendant #fly #socal #love #life… https://t.co/2VRTSM14B9
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,497,Fighting my insecurities just as hard as my ego
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1473,“Are you drunk?”  “Yes.” “Why?” “Because I drank.”  -Best Overheard Couple Convo 2017
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,804,Hey Hey Heyyyy; LMAO
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1526,"@OffBeatVixen Lol stg 😂, I going through em like nothing"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,2148,Good morning @jeffsessions ☀️ ! Here’s a recap of your hearing yesterday... Now go back to bed 🛏 You must be tired.… https://t.co/YeEvLceG6I
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,334,Best hype man their is. Hands down @iAmAdrian15 👏🏻 https://t.co/YvZCUOTTyj
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,615,Tbh the main thing I'm excited for for filming tomorrow is that I get to have lunch at Arby's
